Product,Product_Brand,Item_Category,Subcategory_1,Subcategory_2,Item_Rating,Date,Selling_Price
P-7042,B-1864,pens stationery,office equipments,home security cameras,4.1,16-04-2019,4700
P-10045,B-2643,clothing,women s clothing,lingerie sleep swimwear,3.7,04-02-2020,1092
P-4171,B-3078,clothing,men s clothing,accessories combo sets,4.7,31-12-2019,300
P-1782,B-3078,home decor festive needs,wall decor clocks,clocks,1.1,12-03-2012,809
P-7834,B-2085,home decor festive needs,showpieces,ona s showpieces,3.8,12-01-2013,790
P-5734,B-1517,jewellery,rings,unknown,4.3,01-01-2015,31596
P-5497,B-3078,beauty and personal care,body and skin care,face care,5,31-12-2019,317
P-4966,B-1312,clothing,women s clothing,ethnic wear,3,24-06-2013,691
P-10303,B-2722,beauty and personal care,makeup,vanity boxes,1.6,03-12-2015,1293
P-9882,B-3078,clothing,women s clothing,ethnic wear,3.1,29-12-2019,392
P-4514,B-3078,clothing,women s clothing,western wear,4.6,01-07-2017,470
P-10158,B-2695,computers,laptop accessories,adapters,3.4,03-11-2019,535
P-7513,B-3078,beauty and personal care,fragrances,deodorants,1.3,12-01-2014,375
P-5778,B-1517,jewellery,rings,unknown,3.2,01-01-2019,29924
P-11232,B-3078,toys school supplies,school supplies,geometry pencil boxes,1.5,12-01-2012,98
P-11963,B-3197,jewellery,necklaces chains,necklaces,2,12-01-2017,184
P-2301,B-544,jewellery,necklaces chains,necklaces,4.6,03-10-2015,497
P-1757,B-373,clothing,kids clothing,boys wear,3.3,05-12-2013,293
P-2916,B-3078,watches,wrist watches,disney wrist watches,2.7,12-04-2019,1337
P-6992,B-3078,clothing,kids clothing,girls wear,2.3,20-12-2012,218
P-4743,B-1260,jewellery,necklaces chains,necklaces,3.8,12-01-2019,423
P-2045,B-3078,footwear,women s footwear,flats,1.8,01-07-2013,414
P-6397,B-1664,automotive,car bike accessories,car bike lighting,1.9,18-06-2019,1493
P-3934,B-1017,home decor festive needs,table decor handicrafts,decorative platters,4.7,01-04-2014,2680
P-10953,B-2901,clothing,kids clothing,girls wear,3.4,03-09-2013,391
P-5280,B-1409,jewellery,bangles bracelets armlets,bracelets,2.4,20-12-2015,368
P-12030,B-3212,home decor festive needs,wall decor clocks,wall decals stickers,1.8,29-12-2015,235
P-3815,B-2355,clothing,women s clothing,lingerie sleep swimwear,5,01-07-2020,395
P-11412,B-3036,mobiles accessories,tablet accessories,cases covers,4.3,01-01-2015,292
P-4219,B-1087,kitchen dining,bar glassware,bar glasses,4.7,16-04-2016,796
P-2732,B-711,clothing,men s clothing,jeans,1.1,18-03-2016,1053
P-6479,B-1695,baby care,infant wear,baby boys clothes,1.1,14-05-2013,559
P-12475,B-3078,footwear,women s footwear,casual shoes,1.7,12-01-2013,490
P-3068,B-2372,clothing,women s clothing,western wear,1.1,30-12-2012,397
P-11484,B-3070,home decor festive needs,showpieces,ethnic,3.2,12-01-2018,346
P-5710,B-1517,jewellery,rings,unknown,2.8,01-01-2015,28846
P-7967,B-2119,jewellery,accessories,brooches,2.2,28-02-2020,544
P-1222,B-196,computers,laptop accessories,usb gadgets,4.8,20-06-2014,173
P-8461,B-2229,bags wallets belts,luggage travel,suitcases,1.1,03-03-2019,5882
P-6520,B-3078,clothing,men s clothing,trousers,3.2,20-12-2013,2384
P-12182,B-334,clothing,women s clothing,lingerie sleep swimwear,1.7,01-07-2019,311
P-1374,B-240,jewellery,rings,unknown,1.7,01-06-2015,871
P-6800,B-1810,home decor festive needs,showpieces,ethnic,1.8,12-01-2018,340
P-12317,B-3078,beauty and personal care,fragrances,deodorants,4.4,12-01-2019,277
P-6984,B-1842,computers,laptop accessories,usb gadgets,2.6,29-12-2019,188
P-10411,B-2741,automotive,accessories spare parts,bike essentials,3.9,18-03-2020,449
P-9250,B-3078,clothing,women s clothing,western wear,1.5,01-06-2013,820
P-5049,B-1331,jewellery,bangles bracelets armlets,bangles,1.7,20-12-2015,588
P-3810,B-1690,clothing,women s clothing,lingerie sleep swimwear,4.7,01-07-2018,199
P-6170,B-1627,clothing,women s clothing,ethnic wear,1.4,25-04-2017,102
P-11950,B-3197,jewellery,necklaces chains,necklaces,4.4,12-01-2018,153
P-12283,B-3273,automotive,accessories spare parts,helmets riding gear,2.9,24-02-2014,190
P-5759,B-1517,jewellery,rings,unknown,1.2,01-01-2017,27884
P-5340,B-1421,jewellery,bangles bracelets armlets,bracelets,1.2,20-12-2012,244
P-2668,B-684,dassler slim fit women s multicolor jeans,unknown,unknown,2.4,05-10-2013,1597
P-10145,B-2695,computers,laptop accessories,adapters,4.7,03-11-2015,530
P-7914,B-2112,kitchen dining,lighting,bulbs,1.5,31-12-2019,316
P-1015,B-133,automotive,accessories spare parts,car interior exterior,2.1,12-01-2014,1499
P-4860,B-1279,mobiles accessories,mobile accessories,mobile pouches,1,01-07-2015,248
P-3582,B-921,clothing,women s clothing,ethnic wear,4.3,25-03-2018,1589
P-3962,B-1020,jewellery,rings,unknown,3.4,01-01-2015,33954
P-792,B-133,automotive,accessories spare parts,car interior exterior,2.9,12-01-2015,1598
P-4589,B-1215,sunglasses,hh wayfarer sunglasses,unknown,2.8,06-10-2015,289
P-10483,B-2741,automotive,accessories spare parts,spares performance parts,3.7,31-12-2015,1045
P-5932,B-1561,kitchen dining,kitchen tools,kitchen implements,4.7,12-01-2017,194
P-5905,B-1554,toys school supplies,party supplies,balloons decoration,2.7,15-06-2018,894
P-300,B-80,jewellery,necklaces chains,necklaces,4.1,12-01-2012,539
P-9514,B-2462,beauty and personal care,combos and kits,rythmx combos and kits,3,06-02-2019,390
P-8141,B-3078,beauty and personal care,fragrances,deodorants,2.4,12-01-2015,395
P-11453,B-3054,baby care,baby kids gifts,stickers,4.5,12-01-2012,541
P-2140,B-482,mobiles accessories,tablet accessories,cases covers,3.7,01-01-2014,1092
P-9711,B-2355,clothing,women s clothing,lingerie sleep swimwear,4.7,01-07-2014,244
P-6807,B-1813,masara solid women s straight kurta,unknown,unknown,3,04-05-2016,547
P-4299,B-2372,clothing,women s clothing,western wear,1,30-12-2017,497
P-2276,B-533,baby care,infant wear,baby boys clothes,3.3,04-02-2014,2164
P-6122,B-3078,clothing,men s clothing,shirts,1,12-06-2016,599
P-9204,B-2370,computers,laptop accessories,batteries,3.2,01-07-2020,1290
P-3739,B-3078,clothing,women s clothing,western wear,3.6,01-07-2015,529
P-6822,B-3078,clothing,men s clothing,winter seasonal wear,4.9,31-12-2017,900
P-233,B-66,mobiles accessories,mobile accessories,headphones,2.1,03-11-2019,299
P-4363,B-3078,clothing,women s clothing,western wear,3.4,01-07-2013,394
P-12065,B-3078,clothing,men s clothing,t shirts,3.5,15-12-2015,792
P-5249,B-1402,clothing,kids clothing,boys wear,3.5,05-01-2019,645
P-109,B-27,jewellery,necklaces chains,necklaces,1.2,12-01-2013,690
P-3317,B-857,footwear,kids infant footwear,for boys,4.7,03-03-2015,991
P-9907,B-3078,clothing,women s clothing,western wear,1.1,01-01-2014,542
P-9658,B-2512,clothing,women s clothing,ethnic wear,2.3,29-04-2018,1232
P-12197,B-3251,jewellery,necklaces chains,necklaces,5,12-01-2016,469
P-6049,B-1590,home furnishing,floor coverings,mats,2.9,24-04-2018,193
P-9353,B-3078,kitchen dining,coffee mugs,rockmantra coffee mugs,2.3,12-01-2016,194
P-9432,B-2426,jewellery,pendants lockets,rosesnribbons rhodium garnet amethyst citrine,2.6,03-11-2014,4995
P-11811,B-3175,jewellery,necklaces chains,necklaces,2.8,12-01-2015,418
P-4203,B-3078,watches,wrist watches,gift island wrist watches,3.6,01-07-2020,891
P-11128,B-2948,clothing,women s clothing,western wear,1.3,05-12-2014,1099
P-1847,B-405,jewellery,rings,unknown,3.1,01-01-2013,26854
P-7574,B-2024,kitchen dining,cookware,pots pans,4.4,17-06-2017,293
P-7794,B-3078,clothing,men s clothing,t shirts,3.2,13-12-2019,698
P-9858,B-2580,jewellery,bangles bracelets armlets,bangles,1.3,30-12-2014,596
P-4591,B-1217,jewellery,necklaces chains,necklaces,5,12-01-2016,483
P-4957,B-1310,jewellery,pendants lockets,inaya yellow gold nak brass pendant set,4.1,03-11-2020,381
P-6769,B-1798,pens stationery,school supplies,pencils pen pencil boxes,4.8,25-03-2016,42
P-729,B-133,automotive,accessories spare parts,car interior exterior,1.6,12-01-2014,1594
P-8183,B-2165,kitchen dining,kitchen tools,kitchen implements,3.2,12-01-2014,69
P-9287,B-2399,toys school supplies,role play toys,riddhi siddhi role play toys,1.7,06-09-2017,292
P-8618,B-3078,kitchen dining,coffee mugs,printland coffee mugs,2.9,12-01-2012,294
P-5720,B-1517,jewellery,rings,unknown,2.8,01-01-2020,30607
P-9656,B-2510,clothing,women s clothing,western wear,4,24-04-2014,1499
P-8200,B-2168,jewellery,earrings,unknown,1.9,12-12-2019,198
P-8802,B-2271,pu good women flats,unknown,unknown,5,05-10-2015,370
P-4281,B-2355,clothing,women s clothing,lingerie sleep swimwear,4.1,01-07-2019,400
P-5999,B-1574,footwear,women s footwear,ballerinas,1.7,23-04-2014,496
P-211,B-3078,footwear,women s footwear,casual shoes,4.8,01-06-2018,449
P-1330,B-221,home furnishing,bath linen,towels,2.4,20-12-2015,793
P-5414,B-1444,cameras accessories,camera accessories,lens hoods,3.5,29-12-2013,994
P-6654,B-1749,home furnishing,cushions pillows covers,cushion covers,4.2,06-04-2014,311
P-3566,B-920,jewellery,necklaces chains,necklaces,1.3,12-01-2018,184
P-10696,B-3078,clothing,women s clothing,leggings jeggings,1.8,12-12-2017,372
P-1790,B-390,tools hardware,tools,gardening tools,5,01-07-2014,398
P-6310,B-1645,computers,laptop accessories,batteries,3,01-07-2016,1794
P-3747,B-959,bags wallets belts,bags,backpacks,4.7,01-01-2016,596
P-12213,B-3260,baby care,infant wear,baby girls clothes,3.8,06-07-2019,544
P-8113,B-2142,home furnishing,bed linen,blankets quilts dohars,3.7,01-01-2014,1397
P-2904,B-747,toys school supplies,action figures,discovery toys action figures,4.5,03-03-2020,9716
P-9616,B-2281,clothing,women s clothing,lingerie sleep swimwear,2,01-07-2014,542
P-2894,B-505,clothing,women s clothing,western wear,4.9,30-12-2014,495
P-12179,B-2355,clothing,women s clothing,lingerie sleep swimwear,5,01-07-2018,313
P-3038,B-785,jewellery,necklaces chains,necklaces,5,12-01-2019,449
P-2220,B-3078,watches,wrist watches,cb fashion wrist watches,3.6,31-12-2018,616
P-3825,B-984,fly u slim fit fit women s brown jeans,unknown,unknown,1.5,05-10-2013,591
P-8378,B-378,clothing,women s clothing,lingerie sleep swimwear,3.3,01-07-2018,191
P-11551,B-2355,clothing,women s clothing,lingerie sleep swimwear,5,01-07-2015,263
P-9712,B-3078,clothing,men s clothing,t shirts,2.2,01-07-2014,394
P-12545,B-3078,clothing,men s clothing,trousers,3.2,12-03-2014,519
P-2437,B-586,baby care,infant wear,baby girls clothes,3.3,06-04-2020,474
P-7427,B-1993,computers,network components,routers,4,12-01-2018,5444
P-5970,B-1569,mobiles accessories,mobile accessories,mobile pouches,3.7,03-05-2020,446
P-1106,B-165,pens stationery,office supplies,amy office supplies,2.4,29-12-2019,241
P-8072,B-2132,home furnishing,bed linen,blankets quilts dohars,1.7,01-01-2018,1189
P-7416,B-1991,mobiles accessories,tablet accessories,cases covers,3.1,01-01-2019,1195
P-6788,B-1808,clothing,women s clothing,western wear,1.7,05-12-2020,694
P-6011,B-3078,clothing,women s clothing,western wear,1.1,01-06-2019,600
P-9053,B-2320,beauty and personal care,health care,medical equipment accessories,2.1,12-01-2015,590
P-11972,B-3197,jewellery,rings,unknown,2.8,01-01-2015,27735
P-10082,B-3078,toys school supplies,school supplies,geometry pencil boxes,3.8,12-01-2015,189
P-4014,B-1033,mobiles accessories,mobile accessories,mobile chargers,3.4,28-06-2015,246
P-4838,B-2679,clothing,women s clothing,western wear,3.7,30-12-2014,314
P-10677,B-2801,clothing,women s clothing,western wear,5,13-04-2016,689
P-1113,B-166,mobiles accessories,tablet accessories,cases covers,1.9,01-01-2018,1293
P-5010,B-3078,clothing,women s clothing,ethnic wear,1.1,12-01-2017,299
P-826,B-133,automotive,accessories spare parts,car interior exterior,1.5,12-01-2015,1590
P-3060,B-788,jewellery,necklaces chains,necklaces,3.2,12-01-2016,493
P-8045,B-3078,clothing,women s clothing,western wear,2.5,01-06-2013,987
P-7558,B-2019,clothing,women s clothing,winter seasonal wear,2.3,18-03-2017,792
P-3902,B-3078,watches,wrist watches,franck bella wrist watches,3.1,12-04-2017,1313
P-8038,B-3078,beauty and personal care,combos and kits,oxyglow combos and kits,3.4,12-12-2017,314
P-1257,B-206,jewellery,jewellery sets,unknown,3.5,31-12-2016,490
P-2876,B-3078,pens stationery,office supplies,desk organizers,3.5,01-01-2013,244
P-6831,B-1819,beauty and personal care,hair care,hair colors,3.5,22-03-2019,350
P-8883,B-2300,home decor festive needs,showpieces,r s jewels showpieces,5,12-01-2019,778
P-5342,B-1421,jewellery,necklaces chains,necklaces,1.3,12-01-2017,497
P-9071,B-2325,bags wallets belts,bags,hand bags,3.8,03-02-2014,490
P-3522,B-3078,footwear,men s footwear,formal shoes,2.5,29-12-2014,1789
P-1834,B-405,jewellery,rings,unknown,3.1,01-01-2020,32224
P-858,B-133,automotive,accessories spare parts,car interior exterior,2.3,12-01-2013,917
P-2948,B-751,jewellery,rings,unknown,1.3,01-01-2017,27820
P-9108,B-3078,clothing,women s clothing,western wear,3.3,01-07-2019,394
P-6481,B-1695,lilliput top baby girl s combo,unknown,unknown,2,04-03-2016,1113
P-4832,B-3078,clothing,kids clothing,girls wear,4,31-12-2016,999
P-1110,B-165,pens stationery,office supplies,amy office supplies,3.5,29-12-2013,240
P-3040,B-786,footwear,women s footwear,ballerinas,4.2,03-05-2018,1259
P-5337,B-1421,jewellery,necklaces chains,necklaces,3.2,12-01-2015,397
P-4101,B-1055,computers,laptop accessories,usb gadgets,3,29-12-2014,247
P-3555,B-3078,clothing,women s clothing,lingerie sleep swimwear,2.5,01-07-2019,512
P-4120,B-1065,jewellery,rings,unknown,2,01-07-2017,393
P-523,B-127,clothing,women s clothing,lingerie sleep swimwear,4.3,25-03-2019,373
P-10663,B-2797,kitchen dining,coffee mugs,stylestuffs coffee mugs,3.5,26-06-2018,192
P-1971,B-3078,footwear,women s footwear,ballerinas,1.9,01-06-2015,493
P-6164,B-3078,clothing,women s clothing,western wear,3.8,12-01-2018,979
P-11218,B-2372,clothing,women s clothing,western wear,4.9,30-12-2018,471
P-6810,B-2679,clothing,women s clothing,western wear,4.5,12-12-2013,472
P-1517,B-3078,beauty and personal care,fragrances,deodorants,2,12-01-2012,396
P-2062,B-3078,beauty and personal care,makeup,vanity boxes,3,01-03-2014,389
P-8705,B-3078,kitchen dining,coffee mugs,prithish coffee mugs,5,12-01-2012,293
P-10789,B-2853,automotive,accessories spare parts,car electronics accessories,4.3,12-01-2012,391
P-7009,B-1851,clothing,women s clothing,western wear,2.9,03-03-2017,297
P-2442,B-588,sports fitness,outdoor adventure,camping hiking,4,28-02-2020,4491
P-10010,B-2626,clothing,women s clothing,western wear,1.5,05-10-2013,476
P-9818,B-2564,jewellery,rings,unknown,4.5,01-01-2020,30778
P-756,B-133,automotive,accessories spare parts,car interior exterior,4.8,12-01-2014,1593
P-2779,B-3078,clothing,women s clothing,western wear,2.8,12-04-2019,717
P-9154,B-2347,computers,laptop accessories,batteries,4.1,01-07-2016,2037
P-215,B-3078,clothing,men s clothing,winter seasonal wear,4.1,01-06-2013,1186
P-11884,B-3197,jewellery,jewellery sets,unknown,1.5,20-12-2012,791
P-4216,B-3078,clothing,women s clothing,ethnic wear,1.3,30-12-2016,586
P-6608,B-2355,clothing,women s clothing,lingerie sleep swimwear,4.6,01-07-2017,305
P-4842,B-3078,clothing,women s clothing,western wear,2.4,01-07-2018,444
P-11243,B-3078,footwear,men s footwear,casual shoes,3.1,29-12-2012,1598
P-12387,B-449,clothing,women s clothing,lingerie sleep swimwear,4.3,01-07-2019,142
P-4272,B-2372,clothing,women s clothing,western wear,2.9,30-12-2012,447
P-1758,B-374,mobiles accessories,tablet accessories,cases covers,1.1,31-12-2012,221
P-11882,B-3197,jewellery,bangles bracelets armlets,bangles,1.3,30-12-2013,479
P-5143,B-1365,watches,wrist watches,italian fashion wrist watches,2,24-04-2020,545
P-8043,B-3078,clothing,kids clothing,girls wear,4,12-12-2017,448
P-10468,B-2741,automotive,accessories spare parts,spares performance parts,3.7,31-12-2012,871
P-1419,B-249,clothing,men s clothing,accessories combo sets,3.2,16-04-2015,340
P-3417,B-882,kitchen dining,housekeeping laundry,bathroom accessories,4.5,22-03-2017,1289
P-5194,B-2372,clothing,men s clothing,shirts,3.7,12-06-2012,1392
P-12318,B-3078,beauty and personal care,fragrances,deodorants,2.2,12-01-2019,311
P-8087,B-2136,watches,wrist watches,palito wrist watches,2.8,24-04-2017,190
P-4608,B-1222,automotive,car bike accessories,car interior exterior,3.1,06-09-2014,993
P-8587,B-3078,kitchen dining,coffee mugs,printland coffee mugs,2.9,12-01-2019,198
P-9338,B-3078,kitchen dining,coffee mugs,rockmantra coffee mugs,3.2,12-01-2013,196
P-9460,B-2444,toys school supplies,musical instruments toys,rrenterprizes musical instruments toys,1.6,24-04-2018,1492
P-11070,B-2937,mobiles accessories,tablet accessories,cases covers,2.4,20-12-2015,547
P-5627,B-1499,home decor festive needs,wall decor clocks,paintings,3.7,31-12-2012,1627
P-5939,B-3078,clothing,men s clothing,winter seasonal wear,3.9,31-12-2016,896
P-9740,B-2538,home decor festive needs,table decor handicrafts,showpieces,1.4,01-04-2014,1167
P-2949,B-751,jewellery,rings,unknown,3,01-01-2013,26992
P-4331,B-3078,clothing,women s clothing,western wear,4.3,01-07-2015,293
P-9535,B-1805,clothing,women s clothing,lingerie sleep swimwear,2.7,01-07-2013,269
P-2914,B-3078,toys school supplies,school supplies,geometry pencil boxes,2.5,12-01-2019,359
P-6138,B-3078,clothing,women s clothing,western wear,2.2,12-01-2016,690
P-3044,B-786,jewellery,necklaces chains,necklaces,3.7,12-01-2014,310
P-6020,B-3078,footwear,men s footwear,casual shoes,2.8,29-12-2016,1593
P-6650,B-1748,home decor festive needs,decorative lighting lamps,ceiling lamps,3.9,23-03-2019,791
P-2305,B-546,baby care,infant wear,baby girls clothes,1.8,29-04-2014,796
P-5167,B-2372,clothing,men s clothing,shirts,2,12-06-2014,1590
P-6808,B-3078,ebooks,academic texts,humanities,4,01-07-2020,7227
P-3679,B-945,favourite bikerz 3514 rad air filter ionic air f,unknown,unknown,3.7,19-04-2014,490
P-3086,B-793,furniture,living room,sofas sectionals,3.5,31-12-2012,60833
P-11739,B-3152,home furnishing,kitchen dining linen,table placemats,2.4,03-07-2019,447
P-1850,B-405,jewellery,rings,unknown,2.1,01-01-2014,26677
P-2391,B-2355,clothing,women s clothing,lingerie sleep swimwear,4.7,01-07-2018,176
P-7466,B-2000,gaming,gaming accessories,headphones with mic,3.6,05-10-2018,159
P-1777,B-2679,clothing,men s clothing,shirts,2,01-07-2013,1892
P-10028,B-3078,clothing,men s clothing,cargos shorts 3 4ths,5,01-04-2018,1166
P-11723,B-3149,automotive,accessories spare parts,car interior exterior,2.6,16-04-2019,442
P-349,B-88,automotive,accessories spare parts,car interior exterior,4.5,05-10-2013,190
P-10718,B-2821,tools hardware,tools,gardening tools,2,01-07-2017,349
P-1053,B-148,automotive,accessories spare parts,car electronics accessories,1.9,12-01-2019,247
P-4629,B-3078,clothing,women s clothing,western wear,1.7,12-01-2014,997
P-312,B-86,jewellery,necklaces chains,necklaces,4.5,12-01-2013,824
P-4883,B-1288,furniture,study home office furniture,portable laptop tables,4.3,23-04-2014,1394
P-11500,B-3078,bags wallets belts,bags,backpacks,3.6,01-01-2017,595
P-6193,B-3078,clothing,women s clothing,western wear,3.6,12-01-2017,903
P-12339,B-3078,clothing,men s clothing,winter seasonal wear,1.4,01-07-2016,899
P-2470,B-599,furniture,living room furniture,sofas sectionals,4.8,03-02-2019,19236
P-6436,B-3078,clothing,men s clothing,accessories combo sets,4,31-12-2017,951
P-3482,B-3078,clothing,women s clothing,western wear,1.6,01-07-2014,718
P-2015,B-2666,clothing,women s clothing,lingerie sleep swimwear,5,01-07-2020,333
P-8164,B-2151,jewellery,bangles bracelets armlets,bangles,5,30-12-2015,292
P-12043,B-3215,baby care,baby kids gifts,stickers,1.2,12-01-2018,3018
P-7370,B-1979,kitchen dining,cookware,pots pans,4,12-01-2013,469
P-9631,B-2504,home furnishing,bed linen,blankets quilts dohars,3,01-01-2020,1498
P-4902,B-2373,clothing,women s clothing,western wear,2.6,30-12-2013,492
P-3157,B-813,jewellery,necklaces chains,necklaces,2.7,12-01-2017,291
P-2457,B-2680,clothing,women s clothing,western wear,4.4,30-12-2014,496
P-6813,B-1815,mast harbour black synthetic clutch,unknown,unknown,1.8,04-04-2016,1896
P-2505,B-3078,clothing,women s clothing,western wear,4.4,01-01-2019,359
P-8763,B-2355,clothing,women s clothing,lingerie sleep swimwear,1.7,01-07-2013,399
P-8435,B-1154,clothing,women s clothing,lingerie sleep swimwear,3.9,01-07-2014,398
P-6046,B-3078,clothing,women s clothing,western wear,2.1,12-01-2015,889
P-10138,B-3078,toys school supplies,school supplies,geometry pencil boxes,2.5,12-01-2016,33
P-1900,B-405,jewellery,rings,unknown,1.2,01-01-2013,25366
P-8027,B-3078,beauty and personal care,combos and kits,oxyglow combos and kits,1.1,12-12-2018,454
P-12271,B-3271,sports fitness,fitness accessories,accessories,5,24-06-2018,709
P-11086,B-2201,clothing,women s clothing,lingerie sleep swimwear,5,01-07-2014,268
P-10406,B-2741,speedwav 216552 manual rear view mirror right,unknown,unknown,2.6,03-03-2018,717
P-2641,B-3078,watches,wrist watches,d signer wrist watches,2,12-04-2017,8544
P-7011,B-1853,home furnishing,cushions pillows covers,cushion covers,3.7,29-12-2017,691
P-8263,B-3078,watches,wrist watches,perucci wrist watches,1.3,12-12-2015,1386
P-5308,B-1417,jewellery,necklaces chains,necklaces,4.7,12-01-2019,409
P-2714,B-3078,clothing,women s clothing,western wear,4.9,01-01-2015,492
P-10438,B-2741,automotive,accessories spare parts,car interior exterior,3.6,21-04-2016,357
P-12498,B-3337,home furnishing,living,unknown,1.7,20-12-2013,448
P-4340,B-3078,beauty and personal care,makeup,vanity boxes,3,01-04-2014,783
P-5875,B-1536,clothing,kids clothing,girls wear,1.2,21-03-2015,209
P-3136,B-810,tools hardware,tools,gardening tools,2.7,01-07-2018,790
P-3198,B-825,home furnishing,bed linen,blankets quilts dohars,4.3,01-01-2014,993
P-6337,B-1654,footwear,women s footwear,heels,1.9,24-04-2019,2960
P-11525,B-3079,home furnishing,bed linen,blankets quilts dohars,5,01-01-2014,594
P-1033,B-3078,clothing,men s clothing,accessories combo sets,4.1,31-12-2019,489
P-1498,B-276,jewellery,accessories,brooches,1.4,28-02-2019,897
P-11949,B-3197,jewellery,jewellery sets,unknown,2.7,01-04-2019,642
P-7756,B-3078,clothing,men s clothing,t shirts,4.7,13-12-2012,277
P-10389,B-2741,automotive,accessories spare parts,spares performance parts,2.9,03-12-2018,588
P-1767,B-379,clothing,men s clothing,shirts,3.5,03-05-2019,369
P-12085,B-3222,jewellery,bangles bracelets armlets,bangles,3.1,30-12-2016,194
P-1549,B-294,baby care,infant wear,baby boys clothes,3.9,24-04-2014,499
P-2098,B-468,kitchen dining,consumables disposables,bowls,2.5,19-04-2013,692
P-5641,B-3078,beauty and personal care,fragrances,deodorants,5,12-01-2016,345
P-9826,B-2567,tools hardware,tools,hardware electricals,1,17-06-2017,265
P-9486,B-2451,home decor festive needs,showpieces,ethnic,1.2,12-01-2017,387
P-1127,B-169,footwear,kids infant footwear,for girls,3.3,04-05-2020,498
P-6406,B-3078,footwear,women s footwear,wedges,4.1,01-07-2019,429
P-4954,B-1309,home decor festive needs,table decor handicrafts,water fountains,1.8,12-01-2014,2821
P-10926,B-2895,computers,network components,routers,5,12-01-2019,1890
P-134,B-3078,clothing,women s clothing,western wear,2.7,01-06-2014,849
P-5394,B-1438,clothing,kids clothing,girls wear,1.5,18-03-2017,696
P-3342,B-863,clothing,women s clothing,western wear,4.3,03-03-2019,594
P-11869,B-3192,jewellery,bangles bracelets armlets,bangles,3.1,30-12-2019,529
P-3861,B-3078,footwear,women s footwear,heels,1.3,01-06-2019,797
P-6468,B-1685,bags wallets belts,bags,sling bags,4.7,30-04-2015,1295
P-5196,B-1378,jewellery,necklaces chains,necklaces,3.2,12-01-2016,341
P-7899,B-2106,computers,laptop accessories,usb gadgets,4.2,29-12-2015,1480
P-11515,B-3076,clothing,kids clothing,infants wear,1.5,13-04-2013,416
P-2511,B-615,baby care,infant wear,baby boys clothes,4.5,04-02-2015,289
P-7349,B-1970,clothing,kids clothing,girls wear,2,05-10-2019,892
P-9151,B-2344,clothing,men s clothing,shirts,2.6,19-06-2016,1252
P-1489,B-272,automotive,car bike accessories,bike essentials,4.1,17-06-2018,497
P-4706,B-1252,jewellery,necklaces chains,necklaces,3.3,12-01-2018,415
P-6707,B-1770,jewellery,necklaces chains,chains,4.4,21-06-2015,1207
P-6376,B-3078,footwear,men s footwear,formal shoes,3.5,29-12-2018,991
P-10012,B-2627,home decor festive needs,wall decor clocks,paintings,1.5,17-06-2019,797
P-5003,B-1318,jewellery,rings,unknown,1.5,01-06-2014,3495
P-11925,B-3197,jewellery,necklaces chains,necklaces,3.9,12-01-2016,401
P-8229,B-2372,clothing,women s clothing,western wear,3.4,30-12-2014,398
P-11051,B-3078,clothing,women s clothing,western wear,4.6,01-07-2015,563
P-11285,B-2984,computers,network components,routers,3.6,12-01-2012,1909
P-7570,B-3078,footwear,women s footwear,casual shoes,1.9,12-01-2015,791
P-11390,B-3078,clothing,women s clothing,western wear,2.1,01-07-2016,641
P-3824,B-983,automotive,accessories spare parts,car electronics accessories,3.6,12-01-2018,242
P-1644,B-3078,clothing,women s clothing,western wear,5,30-12-2016,468
P-11575,B-3094,jewellery,bangles bracelets armlets,bangles,4.1,30-12-2018,342
P-2639,B-664,clothing,kids clothing,girls wear,2.5,15-06-2020,645
P-4794,B-1265,sports fitness,team sports,cricket,3.8,30-04-2014,385
P-11399,B-3032,pens stationery,office supplies,tucasa office supplies,1.3,03-02-2018,742
P-1184,B-3078,footwear,women s footwear,wedges,2.2,29-12-2018,709
P-3748,B-960,clothing,women s clothing,combo sets,1.4,13-04-2018,1192
P-5502,B-1465,tools hardware,tools,gardening tools,3,01-07-2014,596
P-7617,B-3078,clothing,men s clothing,t shirts,5,13-12-2018,391
P-6752,B-1793,jewellery,rings,manirathnum manirathnum garnet peridot gemston,1.8,28-03-2016,374
P-7672,B-3078,clothing,men s clothing,t shirts,1.3,13-12-2015,242
P-35,B-1,automotive,accessories spare parts,car interior exterior,3.6,12-01-2018,1455
P-5847,B-1526,footwear,women s footwear,flats,1.6,24-04-2019,1744
P-8965,B-2307,jewellery,rings,unknown,2.5,01-01-2020,25960
P-6689,B-378,clothing,women s clothing,lingerie sleep swimwear,1.2,01-07-2018,396
P-5531,B-1470,footwear,men s footwear,sports shoes,3.9,04-04-2015,1292
P-4530,B-3078,clothing,women s clothing,ethnic wear,1.8,01-07-2017,740
P-9078,B-2326,jewellery,rings,unknown,2.6,01-01-2019,25699
P-4741,B-1260,jewellery,necklaces chains,necklaces,3.4,12-01-2018,475
P-10776,B-2847,home furnishing,living,sofa covers,1.5,26-05-2016,689
P-10435,B-2741,automotive,accessories spare parts,car interior exterior,4.5,21-04-2019,352
P-11644,B-3123,jewellery,accessories,brooches,2.9,28-02-2020,442
P-3870,B-3078,footwear,women s footwear,heels,3.7,29-12-2018,995
P-9007,B-2307,jewellery,rings,unknown,3.1,01-01-2020,20861
P-9505,B-2459,jewellery,accessories,brooches,1.1,28-02-2013,545
